# ⇥ New columns ⇥
"# context := {SN,GN,Both, …}   (unchanged)"
# pos     := [S]urname‑only | [G]iven‑name‑only | (blank) Either
괅,gwalk,0.0,
괆,gwalm,0.0,
괇,gwalb,0.0,
괈,gwals,0.0,
괉,gwalt,0.0,
괊,gwalp,0.0,
괋,gwalh,0.0,
괌,gwam,0.0,
괍,gwap,0.0,
괎,gwaps,0.0,
괏,gwat,0.0,
괐,gwat,0.0,
광,gwang,0.0,
괒,gwat,0.0,
괓,gwat,0.0,
곽,gwak,0.0,
괕,gwat,0.0,
괖,gwap,0.0,
괗,gwat,0.0,
괘,gwae,0.0,
괙,gwaek,0.0,
괚,gwaek,0.0,
괛,gwaeks,0.0,
괜,gwaen,0.0,
괝,gwaenj,0.0,
괞,gwaenh,0.0,
괟,gwaet,0.0,
괠,gwael,0.0,
괡,gwaelk,0.0,
괢,gwaelm,0.0,
괣,gwaelb,0.0,
괤,gwaels,0.0,
괥,gwaelt,0.0,
괦,gwaelp,0.0,
괧,gwaelh,0.0,
괨,gwaem,0.0,
괩,gwaep,0.0,
괪,gwaeps,0.0,
괫,gwaet,0.0,
괬,gwaet,0.0,
괭,gwaeng,0.0,
괮,gwaet,0.0,
괯,gwaet,0.0,
괰,gwaek,0.0,
괱,gwaet,0.0,
괲,gwaep,0.0,
괳,gwaet,0.0,
괴,goe,0.0,
괵,goek,0.0,
괶,goek,0.0,
괷,goeks,0.0,
괸,goen,0.0,
괹,goenj,0.0,
괺,goenh,0.0,
괻,goet,0.0,
괼,goel,0.0,
괽,goelk,0.0,
괾,goelm,0.0,
괿,goelb,0.0,
굀,goels,0.0,
굁,goelt,0.0,
굂,goelp,0.0,
굃,goelh,0.0,
굄,goem,0.0,
굅,goep,0.0,
굆,goeps,0.0,
굇,goet,0.0,
굈,goet,0.0,
굉,goeng,0.0,
굊,goet,0.0,
굋,goet,0.0,
굌,goek,0.0,
굍,goet,0.0,
굎,goep,0.0,
굏,goet,0.0,
교,gyo,0.0,
굑,gyok,0.0,
굒,gyok,0.0,
굓,gyoks,0.0,
굔,gyon,0.0,
굕,gyonj,0.0,
굖,gyonh,0.0,
굗,gyot,0.0,
굘,gyol,0.0,
굙,gyolk,0.0,
굚,gyolm,0.0,
굛,gyolb,0.0,
굜,gyols,0.0,
굝,gyolt,0.0,
굞,gyolp,0.0,
굟,gyolh,0.0,
굠,gyom,0.0,
굡,gyop,0.0,
굢,gyops,0.0,
굣,gyot,0.0,
굤,gyot,0.0,
굥,gyong,0.0,
굦,gyot,0.0,
굧,gyot,0.0,
굨,gyok,0.0,
굩,gyot,0.0,
굪,gyop,0.0,
굫,gyot,0.0,
구,gu,-1.0,
국,guk,0.0,
굮,guk,0.0,
굯,guks,0.0,
군,gun,0.0,
굱,gunj,0.0,
굲,gunh,0.0,
굳,gut,0.0,
굴,gul,0.0,
굵,gulk,0.0,
굶,gulm,0.0,
굷,gulb,0.0,
굸,guls,0.0,
굹,gult,0.0,
굺,gulp,0.0,
굻,gulh,0.0,
굼,gum,0.0,
굽,gup,0.0,
굾,gups,0.0,
굿,gut,0.0,
궀,gut,0.0,
궁,gung,0.0,
궂,gut,0.0,
궃,gut,0.0,
궄,guk,0.0,
궅,gut,0.0,
궆,gup,0.0,
궇,gut,0.0,
궈,gwo,0.0,
궉,gwok,0.0,
궊,gwok,0.0,
궋,gwoks,0.0,
권,gwon,0.0,
궍,gwonj,0.0,
궎,gwonh,0.0,
궏,gwot,0.0,
궐,gwol,0.0,
궑,gwolk,0.0,
궒,gwolm,0.0,
궓,gwolb,0.0,
궔,gwols,0.0,
궕,gwolt,0.0,
궖,gwolp,0.0,
궗,gwolh,0.0,
궘,gwom,0.0,
궙,gwop,0.0,
궚,gwops,0.0,
궛,gwot,0.0,
궜,gwot,0.0,
궝,gwong,0.0,
궞,gwot,0.0,
궟,gwot,0.0,
궠,gwok,0.0,
궡,gwot,0.0,
궢,gwop,0.0,
궣,gwot,0.0,
궤,gwe,0.0,
궥,gwek,0.0,
궦,gwek,0.0,
궧,gweks,0.0,
궨,gwen,0.0,
궩,gwenj,0.0,
궪,gwenh,0.0,
궫,gwet,0.0,
궬,gwel,0.0,
궭,gwelk,0.0,
궮,gwelm,0.0,
궯,gwelb,0.0,
궰,gwels,0.0,
궱,gwelt,0.0,
궲,gwelp,0.0,
궳,gwelh,0.0,
궴,gwem,0.0,
궵,gwep,0.0,
궶,gweps,0.0,
궷,gwet,0.0,
궸,gwet,0.0,
궹,gweng,0.0,
궺,gwet,0.0,
궻,gwet,0.0,
궼,gwek,0.0,
궽,gwet,0.0,
궾,gwep,0.0,
궿,gwet,0.0,
귀,gwi,0.0,
귁,gwik,0.0,
귂,gwik,0.0,
귃,gwiks,0.0,
귄,gwin,0.0,
귅,gwinj,0.0,
귆,gwinh,0.0,
귇,gwit,0.0,
귈,gwil,0.0,
귉,gwilk,0.0,
귊,gwilm,0.0,
귋,gwilb,0.0,
귌,gwils,0.0,
귍,gwilt,0.0,
귎,gwilp,0.0,
귏,gwilh,0.0,
귐,gwim,0.0,
귑,gwip,0.0,
귒,gwips,0.0,
귓,gwit,0.0,
귔,gwit,0.0,
귕,gwing,0.0,
귖,gwit,0.0,
귗,gwit,0.0,
귘,gwik,0.0,
귙,gwit,0.0,
귚,gwip,0.0,
귛,gwit,0.0,
규,gyu,0.0,
귝,gyuk,0.0,
귞,gyuk,0.0,
귟,gyuks,0.0,
균,gyun,0.0,
귡,gyunj,0.0,
귢,gyunh,0.0,
귣,gyut,0.0,
귤,gyul,0.0,
귥,gyulk,0.0,
귦,gyulm,0.0,
귧,gyulb,0.0,
귨,gyuls,0.0,
귩,gyult,0.0,
귪,gyulp,0.0,
귫,gyulh,0.0,
귬,gyum,0.0,
귭,gyup,0.0,
귮,gyups,0.0,
귯,gyut,0.0,
귰,gyut,0.0,
귱,gyung,0.0,
귲,gyut,0.0,
귳,gyut,0.0,
귴,gyuk,0.0,
귵,gyut,0.0,
귶,gyup,0.0,
귷,gyut,0.0,
그,geu,0.0,
극,geuk,0.0,
귺,geuk,0.0,
귻,geuks,0.0,
근,geun,0.0,
귽,geunj,0.0,
귾,geunh,0.0,
귿,geut,0.0,
글,geul,0.0,
긁,geulk,0.0,
긂,geulm,0.0,
긃,geulb,0.0,
긄,geuls,0.0,
긅,geult,0.0,
긆,geulp,0.0,
긇,geulh,0.0,
금,geum,0.0,
급,geup,0.0,
긊,geups,0.0,
